DATE,PULL_UP,CHIN_UP,PUSH_UP,SQUAT,HR_105-132,HR_133-166,HR_167+,MINS_RECOVERY,HRS_SLEEP,LITERS_H2O,MINS_HOT/COLD,MOOD,DISTANCE_KM,REP_TOTAL
01/01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.0,0.0,0.0
01/02,0.0,0.0,107.0,300.0,25.0,0.0,0.0,0.0,8.0,3,5,8.0,8.9,407.0
01/03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,8.0,3,0,7.0,2.6,0.0
01/04,25.0,21.0,0.0,136.0,2.0,0.0,0.0,0.0,7.0,4,4,8.0,3.0,182.0
01/05,0.0,0.0,150.0,192.0,0.0,0.0,0.0,0.0,6.0,4,0,6.0,3.0,342.0
01/06,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,9.0,2,0,7.0,2.7,0.0
01/07,0.0,27.0,0.0,100.0,2.0,0.0,0.0,0.0,6.0,2,0,7.0,4.3,127.0
01/08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,1.6,0.0
01/09,0.0,0.0,89.0,75.0,7.0,0.0,0.0,0.0,8.0,2,0,7.0,3.7,164.0
01/10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2,0,6.0,1.6,0.0
01/11,0.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4,0,7.0,2.3,50.0
01/12,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,9.0,4,0,7.0,2.4,95.0
01/13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2,0,7.0,1.5,0.0
01/14,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,1,0,7.0,3.1,0.0
01/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,0,7.0,0.8,0.0
01/16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1,0,7.0,2.3,0.0
01/17,0.0,50.0,100.0,200.0,9.0,0.0,0.0,0.0,8.0,2,0,7.0,5.0,350.0
01/18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2,0,7.0,1.8,0.0
01/19,0.0,35.0,52.0,0.0,0.0,0.0,0.0,0.0,8.0,2,0,7.0,2.5,87.0
01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2,0,7.0,1.9,0.0
01/21,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2,0,7.0,2.3,16.0
01/22,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,2,0,7.0,4.1,0.0
01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2,0,7.0,0.8,0.0
01/24,17.0,0.0,25.0,50.0,4.0,0.0,0.0,0.0,8.0,2,0,6.0,2.0,92.0
01/25,26.0,28.0,56.0,206.0,6.0,0.0,0.0,0.0,8.0,2,0,6.0,4.8,316.0
01/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2,0,7.0,2.9,0.0
01/27,0.0,0.0,117.0,240.0,7.0,0.0,0.0,0.0,8.0,2,0,7.0,3.5,357.0
01/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2,0,6.0,1.6,0.0
01/29,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,2,0,7.0,4.5,0.0
01/30,19.0,18.0,0.0,0.0,23.0,6.0,0.0,0.0,7.0,2,0,8.0,5.4,37.0
01/31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3,0,5.0,2.6,0.0
TOTAL:,103.0,229.0,791.0,1499.0,108.0,6.0,0.0,60.0,217.0,66,9,6.774193548387097,89.5,2622.0
